,tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview,genre_labels
29,25636,Jesus' Son,2000-06-16,2000,en,"[35, 18, 10749]",7.1274,6.219,73,A young man turns from drug addiction and petty crime to a life redeemed by a discovery of compassion.,"['Comedy', 'Drama', 'Romance']"
30,29015,The Specials,2000-09-22,2000,en,"[35, 14, 878, 28]",6.0593,5.119,42,"America's seventh best superhero team, the Specials, are a group of geeks and oddballs. Lifelong fan Nightbird joins the group just in time for the group to get a new line of action figures. But the members' extreme personalities and personal issues threaten to rip the group apart.","['Comedy', 'Fantasy', 'Science Fiction', 'Action']"
31,11978,Men of Honor,2000-09-13,2000,en,[18],6.999,7.5,2438,"Against formidable odds -- and an old-school diving instructor embittered by the U.S. Navy's new, less prejudicial policies -- Carl Brashear sets his sights on becoming the Navy's first African-American master diver in this uplifting true story. Their relationship starts out on the rocks, but fate ultimately conspires to bring the men together into a setting of mutual respect, triumph and honor.",['Drama']
32,13785,Best in Show,2000-09-29,2000,en,[35],7.1404,6.865,639,"The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds of eager contestants from across America prepare to take part in what is undoubtedly one of the greatest events of their lives -- the Mayflower Dog Show. The canine contestants and their owners are as wondrously diverse as the great country that has bred them.",['Comedy']
33,7093,Vatel,2000-05-01,2000,en,"[36, 18, 10749]",6.5983,6.1,176,"In 1671, with war brewing with Holland, a penniless prince invites Louis XIV to three days of festivities at a chateau in Chantilly. The prince wants a commission as a general, so the extravagances are to impress the king. In charge of all is the steward, Vatel, a man of honor, talent, and low birth. The prince is craven in his longing for stature: no task is too menial or dishonorable for him to give Vatel. While Vatel tries to sustain dignity, he finds himself attracted to Anne de Montausier, the king's newest mistress. In Vatel, she finds someone who's authentic, living out his principles within the casual cruelties of court politics. Can the two of them escape unscathed?","['History', 'Drama', 'Romance']"
34,27775,Starforce,2000-07-10,2000,en,[878],5.8846,1.8,5,A warrior and a beautiful ex-convict are left to fight the galaxy's most fearsome commandos in an alien wasteland.,['Science Fiction']
35,2123,"Me, Myself & Irene",2000-06-22,2000,en,[35],6.6314,6.607,4141,"Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.",['Comedy']
36,3981,What Women Want,2000-12-15,2000,en,"[35, 10749]",8.0222,6.445,4271,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.","['Comedy', 'Romance']"
37,2089,Cutaway,2000-08-26,2000,en,"[28, 53, 10770]",4.9546,4.915,41,"The successful undercover agent Victor Cooper is assigned for his ninth mission: to find how the loadings of drug is being brought to Miami. He suspects that the drug is coming through the air and joins a team of sky diving, under the leadership of Red Line, a fanatic and considered the athlete number one in this sport in the world. Due to his profile of winner, Vic gets involved with the group and he ""disconnects"" from his position of infiltrated agent, ""connecting"" with the team.","['Action', 'Thriller', 'TV Movie']"
38,9679,Gone in Sixty Seconds,2000-06-09,2000,en,"[28, 80, 53]",7.5571,6.5,4752,"Upon learning that he has to come out of retirement to steal 50 cars in one night to save his brother Kip's life, former car thief Randall ""Memphis"" Raines enlists help from a few ""boost happy"" pals to accomplish a seemingly impossible feat. From countless car chases to relentless cops, the high-octane excitement builds as Randall swerves around more than a few roadblocks to keep Kip alive.","['Action', 'Crime', 'Thriller']"
39,1900,Traffic,2000-12-27,2000,en,"[53, 18, 80]",7.2519,7.082,2337,"An exploration of the United States of America's war on drugs from multiple perspectives. For the new head of the Office of National Drug Control Policy, the war becomes personal when he discovers his well-educated daughter is abusing cocaine within their comfortable suburban home. In Mexico, a flawed, but noble policeman agrees to testify against a powerful general in league with a cartel, and in San Diego, a drug kingpin's sheltered trophy wife must learn her husband's ruthless business after he is arrested, endangering her luxurious lifestyle.","['Thriller', 'Drama', 'Crime']"
40,120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,2001,en,"[12, 14, 28]",30.7022,8.427,26976,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","['Adventure', 'Fantasy', 'Action']"
41,808,Shrek,2001-05-18,2001,en,"[16, 35, 14, 12, 10751]",29.6688,7.8,18374,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.","['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']"
42,671,Harry Potter and the Philosopher's Stone,2001-11-16,2001,en,"[12, 14]",27.4618,7.9,29123,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.","['Adventure', 'Fantasy']"
43,585,"Monsters, Inc.",2001-11-01,2001,en,"[16, 35, 10751]",23.1866,7.847,19454,"Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.","['Animation', 'Comedy', 'Family']"
