tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview
1515332,Friends,2002-01-22,2002,kn,"[35, 18]",0.3459,0.0,0,Five friends get curious about the opposite gender and decide to have physical relationship with women. They befriend a girl in the neighbourhood and try to get her consent to fulfil their wish.
339867,Super Star,2002-01-01,2002,kn,[],0.4668,0.0,0,A 2002 Kannada film.
1200694,Ekangi,2002-01-01,2002,kn,[],0.2036,0.0,0,"Ekangi is a psychological thriller which portrays the peace and joy in lonely life. Ravi, an adult who happily lives alone in a big house and always follows his father's last words ""Be happy to be alone, Be alone to be happy"". One day at a bar, he falls for a beautiful lady and invites her to his house. From that moment, how Ravi's life takes wrong turn forms the rest of the story."
895120,Nagarahavu,2002-08-22,2002,kn,[53],0.3235,0.0,0,"Ajay Sharma is set out to kill Madan Chopra and destroy his family, who is responsible for Ajay's father, Vishwanth's death. Will Ajay succeed?"
1513563,Make Up,2002-11-08,2002,kn,"[28, 35]",0.1849,0.0,0,"To gather important information about a case, Jaggesh, a police officer, disguises himself as an old woman. During his investigation, he falls in love with a woman."
690920,Appu,2002-04-26,2002,kn,"[10749, 35, 28]",0.2397,0.0,0,
1180992,Dakota Express,2002-04-11,2002,kn,[35],0.2091,0.0,0,"Owners of a bus, Krishna and Sundar, face numerous problems due to poor conditions. However, their life takes a turn when the daughter of the minister takes refuge in their bus."
339866,Naanu Naane,2002-01-01,2002,kn,[],0.2439,0.0,0,A 2002 Kannada film.
343151,H2O,2002-03-29,2002,kn,[],0.1505,7.0,1,A 2002 Kannada film.
1514666,Parva,2002-01-18,2002,kn,"[10402, 18, 10749]",0.1575,0.0,0,"Sagar, a singer-turned-alcoholic, decides to mend his ways and rekindle his passion after falling in love with Suma. However, all hell breaks loose when she does not turn up for his concert."
282591,Thavarige Baa Thangi,2002-11-01,2002,kn,"[10751, 18]",0.1304,0.0,0,
1514671,Jameendarru,2002-04-03,2002,kn,"[28, 18, 10751]",0.1724,0.0,0,The daughter of a rich businessman falls in love with a man she presumes is a landlord. Things change when she learns his true identity.
610993,Dhruva,2002-09-13,2002,kn,[],0.1875,0.0,0,An honest police officer who has taken an oath to clean up society must make some hard decisions when his friend becomes a criminal.
1504101,Prema Khaidi,2002-08-02,2002,kn,"[10749, 18]",0.1476,0.0,0,"A 2002 Kannada Drama, Romance movie by B Naganna starring: Vijay Raghavendra, Radhika Kumaraswam"
66214,Dhum,2002-09-27,2002,kn,"[28, 18]",0.1364,0.0,0,The story follows a young man who becomes a target after inadvertently witnessing a crime. He then tries to protect the victim's sister from the criminals.
1107402,Simhadriya Simha,2002-06-07,2002,kn,"[28, 18]",0.0457,6.0,1,"Narasimhe Gowda (Vishnuvardhan), head of 48 villages has high regards for his sincerity and wisdom in his judgements. After his untimely death, his elder son Gowda (Vishnuvardhan) takes his throne and passes a wrong judgement against his brother Chikka (Vishnuvardhan). What circumstances lead to this"
1501685,Ninagoskara,2002-09-27,2002,kn,"[10749, 35]",0.0404,0.0,0,"Manoj and Apoorva are two individuals betrayed by their respective lovers Varsha and Jay. After several years, Jay and Varsha are married and live in a posh locality. Coincidentally, Manoj and Apurva meet up and plan to shift next to the married couple. Somehow, they bug the couple's room with cameras to spy on them. In this process, Manoj starts developing a soft corner for Apurva."
1343519,Three Months of Solitude,2002-12-31,2002,kn,[],0.0614,0.0,0,"When you’re in a crowd you prefer  to be alone. When you’re alone,  you want to be part of a crowd.  You’re never satisfied with yourself,  Wherever you are……  The protagonist of this film is an Indian  who is in Finland for three months on  a scholarship. His sense of alienation  Is not merely because of physical detachment  from life familiar to him but also due to a subjective  point of view. He feels he is trapped in  a dream…a reverie that doesn’t satisfy his soul."
339860,Raktha Kanneeru,2003-09-18,2003,kn,"[35, 18]",2.6518,8.0,7,"A young Indian man becomes westernised and starts hating the Indian rituals and culture. He falls in love with a sex worker, but marries a girl from his village to fulfil his parents' wish."
1082231,Vijaya Dashami,2003-06-06,2003,kn,[18],0.9915,0.0,0,A wealthy kind hearted landlord who is very happy about the return of his son from the oversees. His happiness comes to an end when the hidden truth about his 6 year old daughter who is come down to meet her grand parents is revealed to them.
1070983,Kiccha,2003-04-11,2003,kn,"[18, 10749]",1.1673,0.0,0,"Kiccha, an unemployed gold medalist tries his best to get a job but due to corrupt bribe system, he fails to get any job. This story tells how an intelligent unemployed youth enters politics and turns big playing their own game against them."
1507392,Kushalave Kshemave,2003-05-02,2003,kn,"[10749, 18]",1.1166,0.0,0,"Murali, a struggling singer, starts liking Priya, after bonding with her over the telephone. While he finds various ways to meet her, her marriage gets fixed with another man, Darshan."
1499033,Khushi,2003-10-02,2003,kn,"[35, 18, 10751]",1.1244,0.0,0,"Ajay, Vijay and Shashank, the irresponsible sons of two wealthy industrialists, accept the challenge posed by their fathers of earning money on their own."
1504267,Vikram,2003-07-25,2003,kn,"[10749, 28, 18]",0.9216,0.0,0,"Vikram is a Kannada Romance Drama Directed by M.K.Maheshwaran, Starring Vijay Raghavendra and Sindhu Menon in lead roles."
1504256,Heart Beats,2003-01-31,2003,kn,"[10749, 18]",0.814,0.0,0,"Though Vicky loves Vandana, her best friend, Sapna, is also in love with him. Vandana, being a true friend, decides to sacrifice her love for Sapna."
1509151,Kasu Iddone Basu,2003-08-29,2003,kn,"[35, 18]",0.6897,0.0,0,Kasu Iddone Basu is a 2003 Indian Kannada comedy film starring Jaggesh and his younger brother Komal opposite Radhika Chaudhari in the lead roles. The film directed by A. R. Babu has musical score by V. Manohar.
1499051,Daasa,2003-11-21,2003,kn,"[28, 18]",0.6914,0.0,0,"A poor man, Mohan Das, who is close to his mother is shattered when he finds out that his mother is charged with murder. He decides to prove her innocence."
1504259,Preethisle Beku,2003-05-02,2003,kn,"[10749, 35, 18]",0.5055,0.0,0,"Vidya sets out to look for her lover, Harish. On the way, she meets and befriends Ganesh who promises to help her search for Harish."
339862,Kutumba,2003-03-27,2003,kn,[],0.4588,0.0,0,A 2003 Kannada film.
353310,Gokarna,2003-12-25,2003,kn,[],0.3783,0.0,0,A 2003 Kannada film.
1502612,Annavru,2003-12-19,2003,kn,"[28, 18]",0.1421,0.0,0,"Surya, who was abandoned by his 14-year-old unwed mother Nirmala after his birth, grows up in the slums and finds a friend in a local criminal leader, Anna."
1310964,Chigurida Kanasu,2003-10-02,2003,kn,"[18, 10751, 10749]",0.2898,0.0,0,"Shankar, a city lad, pays a visit to his ancestral village. When he decides to settle there for good, he faces opposition from his own family and from a village bigwig."
