tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview,cast,director,keywords
939243,Sonic the Hedgehog 3,2024-12-19,2024,en,"[28, 878, 35, 10751]",19.0214,7.618,3190,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",jimcarrey benschwartz keanureeves idriselba colleeno'shaughnessey,jefffowler,moon sequel based on video game psychotic dual role aftercreditsstinger duringcreditsstinger hedgehog live action and animation complex grandfather grandson relationship animal human friendship anthropomorphic animal
1184918,The Wild Robot,2024-09-12,2024,en,"[16, 878, 10751, 12, 18]",19.3807,8.308,5826,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",lupitanyong'o pedropascal kitconnor billnighy stephaniehsu,chrissanders,villain robot based on children's book female villain aftercreditsstinger duringcreditsstinger kids adopted son grand understated intense audacious awestruck cheerful comforting
402431,Wicked,2024-10-16,2024,en,"[18, 10749, 14]",20.0701,6.906,2934,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",cynthiaerivo arianagrande michelleyeoh jonathanbailey ethanslater,jonm.chu,witch dancing based on novel or book college wish musical female friendship bullying based on play or musical celebrity prequel singer singing corrupt politician death in childbirth fantasy world wizard gravity discrimination ostracism woman in wheelchair musical comedy sister sister relationship belonging cautionary fantasy absurd romantic fantasy whimsical mean spirited
912649,Venom: The Last Dance,2024-10-22,2024,en,"[28, 878, 12]",18.6447,6.663,4074,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",tomhardy chiwetelejiofor junotemple rhysifans stephengraham,kellymarcel,hero superhero anti hero villain alien life-form based on comic sequel aftercreditsstinger woman director
933260,The Substance,2024-09-07,2024,en,"[27, 878, 53]",17.0933,7.135,5801,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",demimoore margaretqualley dennisquaid edwardhamilton-clark goreabrams,coraliefargeat,"new year's eve capitalism birthday black market identity beauty satire aging celebrity female protagonist los angeles, california has been aerobics disfigurement woman in jeopardy woman director substance grim beauty standards insecure woman self image drug body horror female rage youth actress ambiguous farcical sardonic réveillon"
974576,Conclave,2024-10-25,2024,en,"[18, 53]",15.7488,7.194,3272,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",ralphfiennes stanleytucci johnlithgow isabellarossellini lucianmsamati,edwardberger,vatican (holy see) pope religion election roman catholic church catholicism cardinal philosophical papal conclave introspective provocative conspiracy thriller critical catholic monarchs intense comforting
1011985,Kung Fu Panda 4,2024-03-02,2024,en,"[16, 10751, 28, 35, 12, 14]",15.746,6.999,3427,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",jackblack awkwafina violadavis dustinhoffman bryancranston,mikemitchell,martial arts kung fu china villain sequel panda anthropomorphism chameleon female villain pathetic depressing cliché joyful pretentious
762509,Mufasa: The Lion King,2024-12-18,2024,en,"[12, 10751, 16]",15.6389,7.309,2572,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",aaronpierre kelvinharrisonjr. tiffanyboone kagisolediga prestonnyman,barryjenkins,friendship paradise lion musical prequel jungle told in flashback betrayal by friend chance meeting live action remake found family lost
573435,Bad Boys: Ride or Die,2024-06-05,2024,en,"[28, 35, 80]",15.6317,7.336,3254,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",willsmith martinlawrence vanessahudgens alexanderludwig paolanuñez,adilelarbi,"miami, florida sequel on the run police detective buddy cop buddy comedy aftercreditsstinger serious"
359410,Road House,2024-03-08,2024,en,"[28, 53, 18]",15.563,6.923,2906,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",jakegyllenhaal conormcgregor billymagnussen travisvanwinkle darrenbarnet,dougliman,florida keys mixed martial arts (mma) remake bouncer fighting duringcreditsstinger ufc
823464,Godzilla x Kong: The New Empire,2024-03-27,2024,en,"[28, 12, 878]",15.0885,7.046,4564,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",rebeccahall briantyreehenry danstevens kayleehottle alexferns,adamwingard,giant monster sequel dinosaur monkey kaiju fantasy world giant ape godzilla king kong amused bold cliché
1064213,Anora,2024-10-14,2024,en,"[18, 35, 10749]",13.9575,7.062,3034,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",mikeymadison markeydelshteyn yuraborisov karrenkaragulian vachetovmasyan,seanbaker,"new year's eve new york city marriage boardwalk baptism strip club coney island female protagonist mansion class differences las vegas lap dance home invasion drunk brooklyn, new york city screwball comedy new york subway hedonism psychotic immaturity city hall exotic dancer sex worker naive children female stripping meddling parents annulment strip show russian oligarch sex party female rage vegas wedding romantic dramedy sentimental cinderella story brighton beach réveillon best picture winner"
945961,Alien: Romulus,2024-08-13,2024,en,"[27, 878]",13.0841,7.168,4388,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",caileespaeny davidjonsson archierenaux isabelamerced spikefearn,fedeálvarez,alien life-form alien space spin off alien contact alien monster alien encounter space capsule desperate cryonics alien hostility spaceship sci-fi horror derisive
558449,Gladiator II,2024-11-13,2024,en,"[28, 12, 18]",12.4955,6.623,4276,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",paulmescal denzelwashington pedropascal connienielsen josephquinn,ridleyscott,gladiator roman empire ancient rome sequel 3rd century evil tyrant sword and sandal sword fighting second part
866398,The Beekeeper,2024-01-08,2024,en,"[28, 80, 53]",12.8154,7.247,4086,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.,jasonstatham emmyraver-lampman joshhutcherson jeremyirons bobbynaderi,davidayer,massachusetts secret government organization frantic vengeance fbi agent beekeepers scammer scam call center retired assassin vibrant
786892,Furiosa: A Mad Max Saga,2024-05-22,2024,en,"[28, 878, 12]",13.9802,7.453,4733,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",anyataylor-joy chrishemsworth tomburke alylabrowne georgeshevtsov,georgemiller,chase post-apocalyptic future warlord prequel wasteland spin off struggle for survival desert tyrant tyranny masculinity grim revenge murderer mother daughter relationship anxious child abduction car bold brisk
539972,Kraven the Hunter,2024-12-11,2024,en,"[28, 12, 53]",11.2171,6.429,2264,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",aarontaylor-johnson arianadebose fredhechinger alessandronivola christopherabbott,j.c.chandor,hunter superhero villain based on comic supervillain antihero intense admiring ominous
746036,The Fall Guy,2024-04-24,2024,en,"[28, 35, 10749]",11.2294,6.953,3600,"Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",ryangosling emilyblunt aarontaylor-johnson hannahwaddingham teresapalmer,davidleitch,movie business stuntman missing person duringcreditsstinger thoughtful action comedy based on tv series pathetic grand apologetic cliché exhilarated ridiculous
