tmdb_id,title,release_date,release_year,language,genres,popularity,vote_average,vote_count,overview,cast,director,keywords
653457,Mimi,2021-07-26,2021,hi,"[35, 18]",1.5093,6.9,92,"An aspiring actress in a small town in Rajasthan agrees to bear a child for a visiting couple seeking a surrogate mother, but her experience takes an unexpected turn when they refuse to have the child anymore.",kritisanon pankajtripathi saitamhankar evelynedwards supriyapathak,laxmanutekar,surrogate mother based on movie
598826,Sardar Udham,2021-10-16,2021,hi,"[80, 18, 36]",1.4376,7.1,121,"A young Sardar Udham Singh left deeply scarred by the Jallianwala Bagh massacre, escaped into the mountains of Afghanistan, reaching London in 1933-34. Carrying an unhealed wound for 21 years, the revolutionary assassinated Michael O’Dwyer on 13th March, 1940, the man at the helm of affairs in Punjab, April 1919 to avenge the lost lives of his beloved brethren.",vickykaushal shaunscott stephenhogan amolparashar kirstyaverton,shoojitsircar,"biography historical punjab, india"
599925,Shershaah,2021-08-12,2021,hi,"[28, 18, 53, 10752]",1.5416,7.3,117,"Inspired by the life of Captain Vikram Batra (PVC), the film celebrates his bravery, valiant spirit and honors his invaluable sacrifice during the Kargil War of 1999, at the age of 24.",sidharthmalhotra kiaraadvani shataffigar shivpanditt nikitindheer,vishnuvaradhan,biography kargil conflict
829808,D Company,2021-05-15,2021,hi,"[28, 80, 53]",1.169,5.0,1,"The biggest saga of the year is about to unfold the dark side of India's underworld enterprise. The film will showcase the true story behind India's biggest underworld enterprise, D Company, a Mumbai based underworld gang headed by Dawood Ibrahim Kaskar.",nainaganguly irramor sandeepbose abhilashchaudhary ashwatkanth,ramgopalvarma,
786190,Pagglait,2021-03-26,2021,hi,"[18, 35]",1.5532,6.6,47,"Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives and a startling discovery about her late husband.",sanyamalhotra shrutisharma chetansharma ashutoshrana sheebachaddha,umeshbist,
819727,Rifle Ganj,2021-04-15,2021,hi,"[80, 18]",1.1437,3.0,1,"A young talented Engineer & Civil Services topper, Chandar turns into a naxal commander when the abuse of power and politics result in his sister's kidnapping and death of his much respected grandfather.",ompuri mohanjoshi dikshapanth poojagupta madhulagnadas,manojjha,
824744,Shiddat,2021-10-01,2021,hi,"[10749, 18]",1.4724,6.9,33,"Love-struck Jaggi can cross the seven seas for his dream girl, Kartika. Even if it means stopping her wedding as he doesn't want to be friend-zoned.",mohitraina radhikkamadan sunnykaushal dianapenty vidhatribandi,kunaldeshmukh,
832056,Infected 2030,2021-05-20,2021,hi,[18],0.9436,0.0,0,"The film is set in 2030, where a happy couple's life changes after the wife contracts a virus and is quarantined.",noyrikabhatheja rahuldatta chandanpsingh,,short film
1090374,Friction,2021-09-30,2021,hi,[18],0.9807,0.0,0,Rahul and Roskija are married and have a kid but things are not smooth in their relationship. Will the friction between them lead to a bigger disaster?,sanjaykapoor shwetakawatra,sumitsureshkumar,
669696,Tadap,2021-12-03,2021,hi,"[28, 10749]",1.3705,6.8,13,"Passionate Ishana falls madly in love with Ramisa. As their love grows stronger by the day, fate plays the villain and throws one hurdle after another.",ahanshetty tarasutaria saurabhshukla kumudmishra mangalakenkre,milanluthria,remake based on movie
802403,Ajeeb Daastaans,2021-04-16,2021,hi,"[18, 10749]",0.942,6.1,46,An anthology of four stories that explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.,konkonasensharma shefalishah aditiraohydari abhishekbanerjee nushrrattbharuccha,kayozeirani,
660042,The Big Bull,2021-04-08,2021,hi,"[80, 18]",1.3167,5.2,12,"Inspired by events from the late '80s and the early '90s that shook the country's financial fabric, The Big Bull tells the story of the biggest hustle in the stock market.",abhishekbachchan ileanad'cruz sohumshah nikitadutta ramkapoor,kookiegulati,
931541,Quickie,2021-01-01,2021,hi,"[18, 10749]",1.0759,8.9,7,Quickie is a Bollywood comedy movie touted to be a teenage love story.,barbierajput kumudpant ruchikajain darsheelsafary atulsharma,pradipatluri,
695958,The Girl on the Train,2021-02-26,2021,hi,"[18, 53]",1.205,5.8,91,"When a voyeuristic divorcee fixates on the lives of a perfect couple a far, she soon gets embroiled in a murder mystery that unfolds revealing truths about her own life.",parineetichopra aditiraohydari kirtikulhari totaroychowdhury shamaunahmed,ribhudasgupta,remake psychological thriller
732621,12 “o” CLOCK,2021-01-08,2021,hi,"[27, 53]",0.8146,3.0,3,"Aahuti a metaphysics student from Delhi, shifts to Mumbai to be close to her fiancee, what happens next when she discovers the apartment she lives in is haunted.",makranddeshpande mithunchakraborty manavkaul ashishvidhyarthi daliptahil,ramgopalvarma,
694103,Roohi,2021-03-11,2021,hi,"[27, 35]",1.2817,4.5,37,"In a fictional North Indian town, two boys Bhaura and Kattanni are stuck in a forest with Roohi. But there’s an insidious spirit following them with feet turned backwards.",rajkummarrao varunsharma janhvikapoor manavvij saritajoshi,hardikmehta,
721048,Bell Bottom,2021-08-19,2021,hi,"[28, 53]",0.7789,6.3,41,"By the early ‘80s, India had already witnessed multiple airplane hijacks. In 1984, the country was made to face another such challenge. BellBottom, a RAW Agent, sees through the plan and thus begins India's first overseas covert operation. An operation, lead by a forgotten hero, that went on to create one of the most defining moments for India.",akshaykumar humaqureshi adilhussain laradutta vaanikapoor,ranjittiwari,spy dubai airplane hijacking 1980s raw agent indian prime minister pakistani intelligence service
741397,Harami,2021-06-30,2021,hi,"[80, 18, 10749]",1.0086,7.5,4,"An orphan teenage pickpocket working the trains of Mumbai along with his gang, embarks on a life-altering journey when faced by the daughter of one of his victims who's committed suicide after being robbed.",emraanhashmi rizwanshaikh dhanshreepatil dikshanisha ashutoshgaikwad,shyammadiraju,
643807,Ramprasad Ki Tehrvi,2021-01-01,2021,hi,"[18, 10751, 35]",1.2301,6.4,23,"Ramprasad's entire family gathers under one roof for 13 days after his death, to perform and observe the Hindu traditions and rituals called the tehrvi. During the course, the family’s dynamics, politics, and insecurities come out, and then they realise that the importance of people and things are only evident in retrospect.",naseeruddinshah parambratachatterjee konkonasensharma manojpahwa vinaypathak,seemapahwa,family history family drama death family conflict family dynamics
695969,Haseen Dillruba,2021-06-30,2021,hi,"[10749, 9648, 53]",1.0922,6.7,115,"Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",taapseepannu vikrantmassey harshvardhanrane adityasrivastava yaminidas,vinilmathew,
